model,k,chi2_min,AIC,dAIC,BIC,dBIC,lnZ,lnZ_err,dlnZ,best
lcdm,0,58.97496121491366,58.97496121491366,0.0,58.97496121491366,0.0,-29.48748060745683,0.0,0.0,{}
cpl_w0wa,2,40.06102874428068,44.06102874428068,-14.913932470632986,48.40980328407195,-10.565157930841714,-26.9049429536984,0.20955913970006906,2.5825376537584326,"{'w0': -0.8360778870622092, 'wa': -0.6664340473690075}"
mtp_3p,3,48.491497178779554,54.491497178779554,-4.483464036134109,61.014658988466465,2.0396977735528026,-28.66329072135753,0.15073410161612374,0.8241898860993011,"{'beta0': 0.2999998626148478, 'z_star': 0.095456062119472, 'sigma': 0.24477855531650694}"
