model,k,chi2_min,AIC,dAIC,BIC,dBIC,lnZ,lnZ_err,dlnZ,best
lcdm,0,20.437009314954775,20.437009314954775,0.0,20.437009314954775,0.0,-10.218504657477387,0.0,0.0,{}
cpl_w0wa,2,11.772525596769697,15.772525596769697,-4.664483718185078,16.742338896345696,-3.6946704186090784,-10.670165391487561,0.16759620061435374,-0.4516607340101739,"{'w0': -0.7819734918373616, 'wa': -0.7596048845980435}"
standard_ide,1,20.233665895005874,22.233665895005874,1.7966565800510992,22.718572544793876,2.281563229839101,-11.433166268070128,0.08460938998420213,-1.2146616105927404,{'xi': 0.028636968200615634}
sign_switching_ide,3,18.464146650970577,24.464146650970577,4.027137336015802,25.918866600334578,5.481857285379803,-11.01024679286985,0.08306709376410343,-0.7917421353924627,"{'xi0': 0.16548545379658247, 'zc': 0.19567124518455198, 'dz': 0.020000687291826434}"
mtp_3p,3,20.03425331483231,26.03425331483231,5.597243999877534,27.48897326419631,7.051963949241536,-10.433933157229268,0.06574893396959015,-0.21542849975188005,"{'beta0': 0.19714849036237503, 'z_star': 0.22209808501555822, 'sigma': 0.9999999138406024}"
mtp_4p,4,18.171676781375684,26.171676781375684,5.734667466420909,28.111303380527687,7.674294065572912,-10.55430985782626,0.05957725181745594,-0.3358052003488723,"{'beta0': 0.2999999717238031, 'z_star': 0.2533978362788407, 'sigma': 0.201228600080287, 'zc': 0.2095890592434866}"
