model,k,chi2_min,AIC,dAIC,BIC,dBIC,lnZ,lnZ_err,dlnZ,best
lcdm,0,39.26705446730104,39.26705446730104,0.0,39.26705446730104,0.0,-19.63352723365052,0.0,0.0,{}
cpl_w0wa,2,28.560305061326392,32.56030506132639,-6.706749405974648,35.613026110558714,-3.654028356742323,-19.074393307054578,0.1679535808791857,0.5591339265959405,"{'w0': -0.7579389544195342, 'wa': -0.851782520710745}"
standard_ide,1,36.4797953780613,38.4797953780613,-0.7872590892397398,40.006155902677456,0.7391014353764191,-19.795211562154208,0.09245490194115408,-0.1616843285036893,{'xi': 0.08858489240310913}
sign_switching_ide,3,33.77183060072224,39.77183060072224,0.5047761334212026,44.35091217457072,5.083857707269686,-19.781572727592767,0.11192102137928421,-0.14804549394224864,"{'xi0': 0.2186946616977289, 'zc': 0.16521443039384776, 'dz': 0.020000324781746175}"
mtp_3p,3,36.592281049744585,42.592281049744585,3.3252265824435483,47.17136262359307,7.904308156292032,-19.749171673246124,0.08356253897454376,-0.11564443959560577,"{'beta0': 0.2999998351106312, 'z_star': 0.09976099071581707, 'sigma': 0.9999995982929661}"
mtp_4p,4,35.39820248598486,43.39820248598486,4.131148018683824,49.5036445844495,10.236590117148467,-19.67222537277294,0.08711269092905492,-0.03869813912242037,"{'beta0': 0.2999999218904361, 'z_star': 0.4252148015161512, 'sigma': 0.10126358577318226, 'zc': 0.1273911624570011}"
