model,k,chi2_min,AIC,dAIC,BIC,dBIC,lnZ,lnZ_err,dlnZ,best
lcdm,0,39.42131044691979,39.42131044691979,0.0,39.42131044691979,0.0,-19.710655223459895,0.0,0.0,{}
cpl_w0wa,2,29.110181967575002,33.110181967575,-6.311128479344788,36.27721984448722,-3.14409060243257,-21.405420503911557,0.21925691222564422,-1.6947652804516622,"{'w0': -0.723231496439064, 'wa': -1.0870648622420007}"
standard_ide,1,39.42113054373731,41.42113054373731,1.9998200968175226,43.00464948219342,3.5833390352736316,-24.637064450199784,0.18770256410678549,-4.926409226739889,{'xi': -2.3778671021153425e-05}
sign_switching_ide,3,38.830993009238355,44.830993009238355,5.409682562318565,49.58154982460668,10.160239377686892,-22.79668942672637,0.14677973609670752,-3.0860342032664754,"{'xi0': -0.04844232370338735, 'zc': 0.5929777324986876, 'dz': 0.0267048039835966}"
mtp_3p,3,39.36315971710211,45.36315971710211,5.941849270182317,50.113716532470434,10.692406085550644,-21.486021813273187,0.11578005841662678,-1.7753665898132915,"{'beta0': 0.22690026840845712, 'z_star': 0.9391214429830179, 'sigma': 0.0500000113347554}"
mtp_4p,4,37.92522218698172,45.92522218698172,6.50391174006193,52.259297940806164,12.837987493886374,-22.3077032948275,0.1278771817216786,-2.597048071367606,"{'beta0': 0.2811020176644754, 'z_star': 1.144000463677068e-07, 'sigma': 0.30124024443796427, 'zc': 0.18841315492427582}"
