param,mean,std,upper95,lnZ_model,lnZ_model_err,lnZ_lcdm,delta_lnZ,chi2_model,chi2_lcdm,ndata
beta0,0.2696857308820821,0.2501220534549407,0.800722971461131,-11.401050872531382,0.08353358998110887,-10.218833519879324,-1.1822173526520583,21.659236178067008,20.437667039758647,12
z_star,1.2704304092115126,0.5590775810121945,1.944692495867196,-11.401050872531382,0.08353358998110887,-10.218833519879324,-1.1822173526520583,21.659236178067008,20.437667039758647,12
sigma,0.5758392504424968,0.4048700501182401,1.3578343007636016,-11.401050872531382,0.08353358998110887,-10.218833519879324,-1.1822173526520583,21.659236178067008,20.437667039758647,12
