param,truth,mean,std,pull_sigma,rhat,w_eff0,w0,wa,accept_frac
beta0,0.1,0.06751206029098461,0.02468287006560605,-1.316214023031511,1.0016734343740479,-1.019132010113038,-1.10285878537129,0.44789721392016074,0.53030625
z_star,0.4,0.4902812143040535,0.4247219727889634,0.21256544301491223,0.9988733707825969,-1.019132010113038,-1.10285878537129,0.44789721392016074,0.53030625
sigma,0.3,0.8626240498102737,0.3884618415903509,1.448338007941547,1.0031372242335235,-1.019132010113038,-1.10285878537129,0.44789721392016074,0.53030625
